Compound,Count
Pregabalin,58
No Active Component,9
Gabapentin,2
4-Fluorophenibut,2
Paracetamol,2
Noscapine,1
Bromazolam,1
Tapentadol,1
6-MAM,1
Carisoprodol,1
Nitrazepam,1
Dihydrocodeine,1
Promethazine,1
Cocaine,1
Oxycodone,1
Papaverine,1
Diazepam,1
Ketamine,1
Heroin,1
