Compound,Count
Ethylbromazolam,20
Promethazine,7
Paracetamol,4
Diazepam,3
Caffeine,3
Bromazolam,2
Ethylflualprazolam,1
Alprazolam,1
Chlorpheniramine,1
Desalkylgidazepam,1
