Compound,Count
Ethylbromazolam,22
Promethazine,7
Paracetamol,6
Caffeine,5
Bromazolam,4
Diazepam,3
Clonazolam,2
Ethylflualprazolam,2
Desalkylgidazepam,1
Chlorpheniramine,1
Zopiclone,1
Clobromazolam,1
Alprazolam,1
