Compound,Count
Bromazolam,17
Ethylbromazolam,11
No Active Component,10
Paracetamol,6
Diazepam,5
Zolpidem,4
Flubromazolam,4
Flualprazolam,4
Zopiclone,4
MDMA,2
Clonazepam,2
Promethazine,2
Lorazepam,1
Zaleplon,1
Nitrazepam,1
Metonitazene,1
Pregabalin,1
