Compound,Count
Ethylbromazolam,23
Bromazolam,9
No Active Component,9
Diazepam,6
Caffeine,4
Clobromazolam,4
Clonazolam,4
Tramadol,4
Chlorpheniramine,2
Buprenorphine,1
Quetiapine,1
Methylclonazepam,1
Amitriptyline,1
Naloxone,1
Lorazepam,1
Chlordiazepoxide,1
Atenolol,1
Bromazepam,1
Propranolol,1
Citalopram,1
Tapentadol,1
Dihydrocodeine,1
Amisulpride,1
Paracetamol,1
