complete contents,count
Pregabalin,55
No Active Component,9
4-Fluorophenibut,2
Promethazine,1
Gabapentin,1
"Gabapentin, Diazepam",1
"Noscapine, Heroin, Paracetamol, 6-MAM with Papaverine",1
Tapentadol with Carisoprodol,1
"Paracetamol, Bromazolam",1
Dihydrocodeine,1
Ketamine with Pregabalin,1
"Cocaine, Pregabalin",1
Nitrazepam,1
Pregabalin with Oxycodone,1
