Compound,Count
Diazepam,49
Alprazolam,23
Ethylbromazolam,20
Promethazine,7
Clonazepam,6
Paracetamol,4
Nitrazepam,4
Caffeine,3
Lorazepam,2
Bromazolam,2
Ethylflualprazolam,1
Etizolam,1
Chlorpheniramine,1
Desalkylgidazepam,1
