Compound,Count
Ethylbromazolam,13
Bromazolam,9
Promethazine,6
Clobromazolam,4
No Active Component,4
Tramadol,3
Diazepam,3
Paracetamol,3
Zopiclone,2
Caffeine,2
Meclonazepam,2
Zolpidem,1
Phenacetin,1
Rilmazafone,1
Ethylflualprazolam,1
Chlorpheniramine,1
Methylclonazepam,1
