Compound,Count
Ethylbromazolam,22
Promethazine,8
Paracetamol,6
Caffeine,5
Bromazolam,4
Diazepam,3
Ethylflualprazolam,2
No Active Component,2
Clonazolam,2
Tramadol,1
Zopiclone,1
Desalkylgidazepam,1
Chlorpheniramine,1
Alprazolam,1
Clobromazolam,1
