Compound,Count
Diazepam,114
Ethylbromazolam,23
Alprazolam,19
Lorazepam,14
Clonazepam,11
No Active Component,9
Bromazolam,9
Nitrazepam,5
Clonazolam,4
Tramadol,4
Clobromazolam,4
Caffeine,4
Chlorpheniramine,2
Naloxone,1
Methylclonazepam,1
Benzocaine,1
Amitriptyline,1
Quetiapine,1
Buprenorphine,1
Bromazepam,1
Chlordiazepoxide,1
Atenolol,1
Propranolol,1
Midazolam,1
Citalopram,1
Tapentadol,1
Dihydrocodeine,1
Amisulpride,1
Paracetamol,1
